                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0868,                0.52265,                 1.0874,                0.94496,                0.96825,                0.97947,                0.71135,                 1.0461,                0.43862,                 1.0981,               0.006535,               0.006535,               0.006535
                     37,                 1.0808,                0.51726,                 1.0821,                0.94744,                0.96563,                0.97965,                0.71213,                 1.0457,                0.43785,                 1.0974,               0.006436,               0.006436,               0.006436
                     38,                 1.0777,                0.51577,                 1.0803,                0.94342,                0.96993,                0.97897,                0.71297,                 1.0441,                0.43748,                 1.0936,               0.006337,               0.006337,               0.006337
                     39,                  1.076,                0.51233,                 1.0807,                 0.9423,                0.96912,                0.97871,                0.71318,                 1.0463,                0.43571,                 1.0981,               0.006238,               0.006238,               0.006238
                     40,                  1.072,                0.51239,                 1.0798,                0.94448,                0.97068,                0.97931,                0.71406,                 1.0451,                0.43248,                 1.0978,               0.006139,               0.006139,               0.006139
                     41,                 1.0706,                0.50934,                 1.0801,                0.94454,                0.97011,                0.97952,                0.71343,                 1.0444,                0.43139,                 1.0973,                0.00604,                0.00604,                0.00604
                     42,                  1.071,                0.50916,                 1.0766,                0.94372,                0.97168,                 0.9798,                0.71509,                 1.0425,                0.43011,                 1.0951,               0.005941,               0.005941,               0.005941
                     43,                 1.0669,                0.50689,                 1.0765,                0.94353,                0.97143,                0.97956,                0.71565,                 1.0403,                0.42862,                 1.0941,               0.005842,               0.005842,               0.005842
                     44,                 1.0634,                0.50321,                 1.0745,                0.94457,                0.97147,                0.97968,                0.71569,                 1.0394,                0.42742,                 1.0937,               0.005743,               0.005743,               0.005743
                     45,                 1.0627,                0.50176,                 1.0732,                0.94549,                0.97142,                   0.98,                0.71736,                 1.0384,                0.42533,                 1.0928,               0.005644,               0.005644,               0.005644
                     46,                 1.0597,                 0.5015,                 1.0736,                0.94488,                0.97301,                0.98053,                0.71786,                 1.0366,                 0.4238,                 1.0926,               0.005545,               0.005545,               0.005545
                     47,                 1.0575,                0.49904,                 1.0698,                0.94634,                 0.9719,                0.98067,                0.71864,                 1.0356,                0.42275,                 1.0915,               0.005446,               0.005446,               0.005446
                     48,                 1.0516,                0.49623,                 1.0685,                0.94612,                0.97209,                0.98067,                0.71889,                 1.0348,                 0.4219,                 1.0914,               0.005347,               0.005347,               0.005347
                     49,                 1.0512,                0.49408,                 1.0683,                0.94626,                0.97243,                0.98079,                0.71902,                 1.0347,                0.42093,                 1.0917,               0.005248,               0.005248,               0.005248
                     50,                 1.0496,                0.49113,                 1.0675,                0.94532,                0.97366,                 0.9809,                0.71944,                 1.0339,                0.41992,                 1.0913,               0.005149,               0.005149,               0.005149
                     51,                  1.046,                 0.4924,                 1.0679,                0.94647,                0.97384,                0.98113,                0.71961,                 1.0333,                0.41982,                  1.091,                0.00505,                0.00505,                0.00505
                     52,                 1.0463,                0.48924,                 1.0667,                0.94709,                0.97312,                0.98057,                0.72005,                 1.0329,                0.41903,                 1.0905,               0.004951,               0.004951,               0.004951
                     53,                 1.0445,                0.48836,                 1.0647,                0.94821,                0.97313,                 0.9807,                0.72043,                 1.0323,                0.41877,                 1.0898,               0.004852,               0.004852,               0.004852
                     54,                 1.0411,                0.48537,                 1.0614,                0.94778,                0.97339,                 0.9808,                0.72095,                 1.0312,                0.41802,                 1.0889,               0.004753,               0.004753,               0.004753
                     55,                 1.0407,                0.48452,                 1.0643,                0.94763,                0.97274,                0.98055,                0.72165,                  1.031,                0.41728,                 1.0889,               0.004654,               0.004654,               0.004654
                     56,                  1.037,                0.48166,                 1.0602,                0.94766,                0.97255,                0.98049,                0.72167,                 1.0304,                0.41666,                 1.0884,               0.004555,               0.004555,               0.004555
                     57,                 1.0341,                0.48143,                 1.0603,                0.94832,                 0.9724,                0.98063,                 0.7224,                 1.0296,                0.41636,                 1.0881,               0.004456,               0.004456,               0.004456
                     58,                 1.0296,                0.47749,                 1.0576,                0.94856,                 0.9724,                0.98051,                0.72241,                 1.0297,                0.41565,                 1.0879,               0.004357,               0.004357,               0.004357
                     59,                 1.0317,                0.47835,                  1.059,                0.94826,                0.97227,                0.98065,                0.72302,                 1.0292,                0.41531,                 1.0879,               0.004258,               0.004258,               0.004258
                     60,                 1.0252,                0.47429,                 1.0571,                0.94954,                0.97221,                 0.9806,                0.72293,                 1.0288,                0.41475,                 1.0878,               0.004159,               0.004159,               0.004159
                     61,                 1.0251,                0.47222,                 1.0552,                0.94946,                0.97233,                0.98074,                0.72303,                 1.0284,                 0.4142,                 1.0875,                0.00406,                0.00406,                0.00406
                     62,                 1.0211,                0.47167,                 1.0528,                0.94894,                0.97219,                0.98084,                0.72367,                 1.0282,                 0.4135,                 1.0874,               0.003961,               0.003961,               0.003961
                     63,                 1.0171,                0.46931,                 1.0508,                0.94962,                0.97178,                0.98088,                0.72377,                 1.0279,                0.41296,                 1.0873,               0.003862,               0.003862,               0.003862
                     64,                 1.0182,                0.46757,                 1.0524,                0.94945,                0.97182,                0.98099,                0.72388,                 1.0279,                0.41253,                 1.0871,               0.003763,               0.003763,               0.003763
                     65,                 1.0125,                0.46638,                 1.0509,                0.94876,                0.97263,                0.98091,                0.72427,                 1.0274,                0.41221,                  1.087,               0.003664,               0.003664,               0.003664
                     66,                 1.0093,                0.46239,                 1.0489,                0.94876,                0.97343,                0.98098,                0.72472,                 1.0271,                0.41136,                 1.0869,               0.003565,               0.003565,               0.003565
                     67,                  1.009,                0.46185,                  1.047,                0.94931,                0.97374,                0.98109,                0.72503,                 1.0269,                0.41092,                 1.0867,               0.003466,               0.003466,               0.003466
                     68,                 1.0056,                0.46164,                 1.0486,                0.94925,                0.97367,                0.98122,                0.72528,                 1.0264,                0.41044,                 1.0865,               0.003367,               0.003367,               0.003367
                     69,                 1.0056,                0.45994,                  1.044,                0.94923,                0.97399,                0.98127,                0.72525,                 1.0262,                0.40992,                 1.0863,               0.003268,               0.003268,               0.003268
                     70,                 1.0007,                0.45594,                 1.0414,                0.94961,                0.97377,                0.98134,                0.72542,                 1.0261,                0.40944,                  1.086,               0.003169,               0.003169,               0.003169
                     71,                0.99592,                0.45432,                 1.0405,                0.94979,                0.97396,                0.98142,                0.72563,                 1.0258,                0.40902,                 1.0857,                0.00307,                0.00307,                0.00307
                     72,                0.99523,                0.45192,                 1.0425,                0.95006,                0.97376,                0.98153,                0.72584,                 1.0255,                0.40849,                 1.0855,               0.002971,               0.002971,               0.002971
                     73,                0.99115,                0.44849,                 1.0407,                0.95019,                0.97416,                0.98137,                 0.7259,                 1.0252,                0.40817,                 1.0853,               0.002872,               0.002872,               0.002872
